Date,Open,High,Low,Close,Adj Close,Volume
2016-05-02,112.830002,113.510002,112.180000,113.480003,107.059845,21881000
2016-05-03,112.550003,112.559998,110.930000,111.620003,105.305077,37929600
2016-05-04,110.989998,111.989998,110.370003,110.699997,104.437103,30767200
2016-05-05,111.150002,111.330002,110.099998,110.260002,104.022003,26249200
2016-05-06,109.800003,110.930000,109.540001,110.910004,104.635246,25497400
2016-05-09,110.919998,111.889999,110.629997,111.230003,104.937149,23427000
2016-05-10,111.660004,112.400002,111.070000,112.349998,105.993767,18635300
2016-05-11,112.099998,112.269997,110.870003,110.959999,104.682411,23604600
2016-05-12,111.190002,111.489998,109.500000,110.370003,104.125793,34803000
2016-05-13,110.059998,110.940002,109.360001,109.639999,103.437080,24510300
2016-05-16,109.919998,111.519997,109.870003,111.029999,104.748444,27337000
2016-05-17,110.879997,111.419998,108.769997,109.269997,103.088028,46676300
2016-05-18,108.809998,110.660004,108.790001,109.839996,103.625771,35734400
2016-05-19,109.040001,109.769997,107.989998,108.959999,102.795555,36995600
2016-05-20,109.290001,110.790001,109.230003,110.790001,104.522049,37404500
2016-05-23,110.769997,111.389999,110.500000,110.660004,104.399399,23721700
2016-05-24,111.309998,113.220001,111.269997,112.940002,106.550392,41124300
2016-05-25,113.300003,113.900002,113.080002,113.599998,107.173042,26202900
2016-05-26,113.769997,114.019997,113.250000,113.470001,107.050415,15157200
2016-05-27,113.559998,114.599998,113.510002,114.599998,108.116486,21265100
2016-05-31,114.820000,115.540001,114.500000,115.000000,108.493828,32764400
2016-06-01,114.610001,115.949997,114.419998,115.779999,109.229729,26806100
2016-06-02,115.489998,116.669998,115.370003,116.669998,110.069366,23303300
2016-06-03,116.470001,116.470001,115.000000,115.970001,109.408974,28733200
2016-06-06,116.080002,117.580002,116.010002,117.220001,110.588257,26946000
2016-06-07,117.290001,117.980003,116.959999,117.559998,110.909012,21038500
2016-06-08,117.660004,118.639999,117.650002,118.430000,111.729797,27999900
2016-06-09,117.940002,117.940002,117.290001,117.669998,111.012794,23440700
2016-06-10,116.580002,116.879997,115.690002,116.070000,109.503311,32686800
2016-06-13,115.650002,116.180000,114.589996,114.809998,108.314583,36169500
2016-06-14,114.389999,115.110001,113.669998,114.480003,108.003265,34267600
2016-06-15,114.889999,115.559998,114.459999,114.559998,108.078743,24197700
2016-06-16,113.720001,114.589996,112.889999,114.550003,108.069305,36306600
2016-06-17,114.410004,114.919998,113.680000,114.059998,107.607018,30096400
2016-06-20,115.800003,116.449997,115.300003,115.300003,108.776871,28219800
2016-06-21,115.339996,115.410004,114.330002,115.080002,108.569328,34706800
2016-06-22,115.300003,115.879997,114.489998,114.629997,108.144775,27226100
2016-06-23,115.820000,116.910004,115.730003,116.820000,110.210869,30240300
2016-06-24,111.940002,114.040001,111.500000,112.379997,106.022079,74945400
2016-06-27,111.070000,111.070000,108.190002,108.690002,102.540848,58358800
2016-06-28,109.650002,110.879997,109.570000,110.370003,104.125793,42040600
2016-06-29,111.699997,113.050003,111.529999,112.879997,106.493790,34031600
2016-06-30,113.120003,115.019997,112.570000,114.980003,108.474983,42973800
2016-07-01,115.050003,115.949997,114.800003,115.389999,108.861778,24401900
2016-07-05,115.019997,115.260002,113.070000,113.690002,107.257965,29347200
2016-07-06,112.540001,114.010002,112.309998,113.889999,108.036774,24678300
