Date,Open,High,Low,Close,Adj Close,Volume
2015-09-08,94.769997,96.610001,94.769997,96.529999,94.740593,54600
2015-09-09,97.349998,97.480003,94.779999,94.959999,93.199692,105200
2015-09-10,94.889999,96.519997,94.769997,95.790001,94.014305,29200
2015-09-11,95.570000,96.379997,95.129997,96.370003,94.583572,122700
2015-09-14,96.669998,96.669998,95.709999,96.040001,94.259674,42300
2015-09-15,96.360001,97.750000,96.150002,97.349998,95.545403,409000
2015-09-16,97.570000,98.029999,97.279999,97.959999,96.144073,15800
2015-09-17,97.400002,98.580002,97.230003,97.459999,95.653374,95300
2015-09-18,96.120003,97.849998,95.779999,96.800003,95.005585,31700
2015-09-21,97.199997,98.449997,97.029999,97.879997,96.065567,65600
2015-09-22,96.820000,97.239998,96.180000,97.110001,95.309845,267400
2015-09-23,97.070000,97.680000,96.620003,97.309998,95.506142,225700
2015-09-24,96.720001,97.089996,95.660004,96.910004,95.113564,198500
2015-09-25,97.540001,97.849998,96.029999,96.599998,94.858238,55600
2015-09-28,96.180000,96.500000,93.809998,93.910004,92.216751,91500
2015-09-29,94.029999,94.029999,92.669998,93.190002,91.509720,111700
2015-09-30,94.139999,94.830002,93.320000,94.639999,92.933594,35900
2015-10-01,94.959999,95.839996,94.300003,95.790001,94.062836,161100
2015-10-02,94.620003,96.930000,93.889999,96.930000,95.182297,117700
2015-10-05,97.570000,98.800003,97.480003,98.650002,96.871262,62500
2015-10-06,98.629997,98.949997,97.800003,98.250000,96.478493,140100
2015-10-07,98.610001,98.610001,96.699997,98.279999,96.507957,92300
2015-10-08,98.169998,98.919998,97.459999,98.699997,96.920372,179200
2015-10-09,98.860001,99.930000,98.599998,99.870003,98.069275,111300
2015-10-12,99.730003,100.150002,99.419998,100.000000,98.196945,75000
2015-10-13,99.709999,100.529999,99.250000,99.339996,97.548859,81700
2015-10-14,99.279999,99.699997,98.610001,98.730003,96.949837,83900
2015-10-15,99.129997,100.570000,99.129997,100.540001,98.727203,34300
2015-10-16,100.849998,101.529999,100.440002,101.500000,99.669891,151200
2015-10-19,101.169998,101.889999,100.779999,101.400002,99.571693,477700
2015-10-20,101.279999,101.599998,100.459999,100.870003,99.051247,56700
2015-10-21,101.040001,101.040001,99.349998,99.410004,97.617569,47500
2015-10-22,100.190002,102.570000,100.190002,102.099998,100.259079,236800
2015-10-23,103.269997,103.269997,102.250000,103.129997,101.270500,93100
2015-10-26,103.349998,103.849998,103.010002,103.419998,101.555260,81300
2015-10-27,103.139999,103.690002,102.550003,102.830002,100.975914,26700
2015-10-28,103.010002,104.629997,102.889999,104.629997,102.743469,30400
2015-10-29,104.339996,104.339996,103.400002,103.610001,101.741859,51300
2015-10-30,103.570000,104.029999,103.199997,103.370003,101.506187,856700
2015-11-02,103.610001,104.800003,103.440002,104.459999,102.576500,188300
2015-11-03,104.360001,105.550003,103.959999,105.070000,103.175514,228500
2015-11-04,105.279999,106.029999,105.250000,105.940002,104.029839,173300
2015-11-05,105.900002,106.220001,104.959999,105.330002,103.430847,135600
2015-11-06,105.360001,106.110001,104.940002,106.110001,104.196770,55900
2015-11-09,105.949997,105.949997,103.989998,104.730003,102.841660,166200
